No,Kode,Nama Perusahaan,Tanggal Pencatatan,Saham,Papan Pencatatan
91,BOBA,Formosa Ingredient Factory Tbk,01 Nov 2021,1.155.750.000,Pengembangan
92,CMRY,Cisarua Mountain Dairy Tbk.,06 Des 2021,7.934.683.000,Utama
93,TAYS,Jaya Swarasa Agung Tbk.,06 Des 2021,1.098.920.000,Pengembangan
94,WMPP,Widodo Makmur Perkasa Tbk.,06 Des 2021,29.419.000.000,Pemantauan Khusus
95,IPPE,Indo Pureco Pratama Tbk.,09 Des 2021,4.600.000.000,Pemantauan Khusus
96,NASI,Wahana Inti Makmur Tbk.,13 Des 2021,807.400.000,Pengembangan
97,STAA,Sumber Tani Agung Resources Tb,10 Mar 2022,10.903.372.600,Utama
98,NANO,Nanotech Indonesia Global Tbk.,10 Mar 2022,4.285.440.269,Akselerasi
99,TLDN,Teladan Prima Agro Tbk.,12 Apr 2022,12.946.530.200,Pengembangan
100,IBOS,Indo Boga Sukses Tbk.,25 Apr 2022,8.065.789.529,Akselerasi
101,ASHA,Cilacap Samudera Fishing Indus,27 Mei 2022,5.000.000.000,Pengembangan
102,TRGU,Cerestar Indonesia Tbk.,08 Jul 2022,7.945.412.700,Utama
103,DEWI,Dewi Shri Farmindo Tbk.,18 Jul 2022,2.000.000.000,Pengembangan
104,GULA,Aman Agrindo Tbk.,03 Agt 2022,1.070.362.500,Pengembangan
105,JARR,Jhonlin Agro Raya Tbk.,04 Agt 2022,9.230.665.050,Utama
106,AMMS,Agung Menjangan Mas Tbk.,04 Agt 2022,1.235.296.802,Akselerasi
107,EURO,Estee Gold Feet Tbk.,08 Agt 2022,2.548.826.428,Akselerasi
108,BUAH,Segar Kumala Indonesia Tbk.,09 Agt 2022,2.000.000.000,Pengembangan
109,CRAB,Toba Surimi Industries Tbk.,10 Agt 2022,1.950.000.000,Pengembangan
110,CBUT,Citra Borneo Utama Tbk.,08 Nov 2022,3.125.000.000,Pengembangan
111,MKTR,Menthobi Karyatama Raya Tbk.,08 Nov 2022,12.060.428.584,Utama
112,SOUL,Mitra Tirta Buwana Tbk.,06 Jan 2023,1.082.526.223,Akselerasi
113,BEER,Jobubu Jarum Minahasa Tbk.,06 Jan 2023,4.000.000.000,Pengembangan
114,WINE,Hatten Bali Tbk.,10 Jan 2023,2.710.000.000,Pengembangan
115,NAYZ,Hassana Boga Sejahtera Tbk.,06 Feb 2023,2.550.011.472,Akselerasi
116,NSSS,Nusantara Sawit Sejahtera Tbk.,10 Mar 2023,23.801.568.645,Pengembangan
117,MAXI,Maxindo Karya Anugerah Tbk.,12 Jun 2023,9.610.099.981,Pengembangan
118,GRPM,Graha Prima Mentari Tbk.,10 Jul 2023,1.545.087.815,Akselerasi
119,TGUK,Platinum Wahab Nusantara Tbk.,10 Jul 2023,3.571.451.815,Pemantauan Khusus
120,PTPS,Pulau Subur Tbk.,09 Okt 2023,2.167.514.856,Pengembangan
121,STRK,Lovina Beach Brewery Tbk.,10 Okt 2023,10.721.835.562,Pengembangan
122,UDNG,Agro Bahari Nusantara Tbk.,31 Okt 2023,1.750.040.072,Akselerasi
123,AYAM,Janu Putra Sejahtera Tbk.,30 Nov 2023,4.000.000.000,Pengembangan
124,ISEA,Indo American Seafoods Tbk.,08 Jul 2024,1.390.013.370,Pengembangan
125,GUNA,Gunanusa Eramandiri Tbk.,09 Jul 2024,2.500.000.000,Pengembangan
126,NEST,Esta Indonesia Tbk.,08 Agt 2024,4.112.500.000,Pengembangan
127,BRRC,Raja Roti Cemerlang Tbk.,09 Jan 2025,971.537.026,Pengembangan
128,RLCO,Abadi Lestari Indonesia Tbk.,08 Des 2025,3.125.000.000,Pemantauan Khusus
129,YUPI,Yupi Indo Jelly Gum Tbk.,25 Mar 2025,8.544.488.700,Utama
130,FORE,Fore Kopi Indonesia Tbk.,14 Apr 2025,8.918.359.270,Pengembangan
131,MSJA,Multi Spunindo Jaya Tbk.,10 Jan 2024,5.882.352.900,Pengembangan
132,FAPA,FAP Agri Tbk.,04 Jan 2021,3.629.411.800,Pengembangan
